framework,pde,model,setting,size,split,mean_relative_error,std_relative_error,predict_time_seconds,n_eval,ood_file,n_train,n_params,train_time_seconds,epochs,lr,batch_size,num_trunk,num_branch,num_leaf
Framework2,DiffReacAdv,mno,MNO,small,ood,0.0973571687936782,0.0742570087313652,0.3761771451681852,4000,ood.h5,10000,572305,277.01997024938464,200,0.001,64,20,10,5.0
Framework2,DiffReacAdv,mno,MNO,small,ood,0.0674523040652275,0.0258912779390811,0.3752725478261709,4000,ood_init_GP.h5,10000,572305,277.01997024938464,200,0.001,64,20,10,5.0
Framework2,DiffReacAdv,mno,MNO,small,ood,0.0899015367031097,0.0281598083674907,0.377119667828083,4000,ood_init_amp.h5,10000,572305,277.01997024938464,200,0.001,64,20,10,5.0
Framework2,DiffReacAdv,mno,MNO,small,ood,0.0973571687936782,0.0742570087313652,0.3749531097710132,4000,ood_par.h5,10000,572305,277.01997024938464,200,0.001,64,20,10,5.0
Framework2,DiffReacAdv,mno,MNO,small,ood,0.1082666292786598,0.0584821328520774,0.374193524941802,4000,ood_par_init_GP.h5,10000,572305,277.01997024938464,200,0.001,64,20,10,5.0
Framework2,DiffReacAdv,mno,MNO,small,ood,0.1103990450501442,0.0419253483414649,0.375054519623518,4000,ood_par_init_amp.h5,10000,572305,277.01997024938464,200,0.001,64,20,10,5.0
Framework2,DiffReacAdv,mno,MNO,medium,test,0.0293366275727748,0.0092625496909022,0.3743419237434864,4000,,10000,1199410,277.12899180687964,200,0.001,64,20,20,10.0
Framework2,DiffReacAdv,mno,MNO,medium,ood,0.0669684112071991,0.0513531416654586,0.3801251482218504,4000,ood.h5,10000,1199410,277.12899180687964,200,0.001,64,20,20,10.0
Framework2,DiffReacAdv,mno,MNO,medium,ood,0.0439327098429203,0.0192461293190717,0.3741789124906063,4000,ood_init_GP.h5,10000,1199410,277.12899180687964,200,0.001,64,20,20,10.0
Framework2,DiffReacAdv,mno,MNO,medium,ood,0.0849390104413032,0.0294296685606241,0.3737533669918775,4000,ood_init_amp.h5,10000,1199410,277.12899180687964,200,0.001,64,20,20,10.0
Framework2,DiffReacAdv,mno,MNO,medium,ood,0.0669684112071991,0.0513531416654586,0.3737800437957048,4000,ood_par.h5,10000,1199410,277.12899180687964,200,0.001,64,20,20,10.0
Framework2,DiffReacAdv,mno,MNO,medium,ood,0.0826060026884079,0.0550299920141696,0.3759702034294605,4000,ood_par_init_GP.h5,10000,1199410,277.12899180687964,200,0.001,64,20,20,10.0
Framework2,DiffReacAdv,mno,MNO,medium,ood,0.0956921726465225,0.0326721630990505,0.3729136101901531,4000,ood_par_init_amp.h5,10000,1199410,277.12899180687964,200,0.001,64,20,20,10.0
Framework2,DiffReacAdv,mno,MNO,large,test,0.0225117970257997,0.0074364929459989,0.377928389236331,4000,,10000,16678040,282.66687248274684,200,0.001,64,20,100,40.0
Framework2,DiffReacAdv,mno,MNO,large,ood,0.0562356486916542,0.0448155254125595,0.3785491306334734,4000,ood.h5,10000,16678040,282.66687248274684,200,0.001,64,20,100,40.0
Framework2,DiffReacAdv,mno,MNO,large,ood,0.0333576425909996,0.0131600461900234,0.3779035769402981,4000,ood_init_GP.h5,10000,16678040,282.66687248274684,200,0.001,64,20,100,40.0
Framework2,DiffReacAdv,mno,MNO,large,ood,0.081635758280754,0.0290042273700237,0.378858033567667,4000,ood_init_amp.h5,10000,16678040,282.66687248274684,200,0.001,64,20,100,40.0
